"source","target"
58,131550
218,83791
218,257433
58,169418
307,131550
302,169418
333,2337662
1412,131550
1093,94363
1412,1451598
2421,1451598
2888,234670
2699,1451598
2959,2337662
3334,1451598
3464,1451598
4541,1451598
5470,94363
5096,1451598
7117,94363
6431,234670
7168,1451598
8125,94363
7982,1451598
8295,1451598
8961,168661
9848,131550
10567,169418
10068,1637156
11036,234670
12117,94363
12117,248515
12767,1451598
12931,3032976
14849,94363
14849,4248300
14829,2337662
14849,2337662
14849,4966088
15379,94363
17212,94363
18166,248515
17759,829426
18130,4666200
19061,234670
20345,131550
20290,94363
20680,94363
20290,234670
21597,94363
21979,94363
20869,83791
21375,83791
22683,1451598
25747,131550
23968,94363
25461,234670
25747,366549
25461,4966088
25816,131550
26204,94363
28699,94363
28929,1451598
30771,131550
30315,94363
30315,234670
30063,1451598
30315,1451598
30091,829426
30771,366549
30091,1382471
30771,1862783
32161,184154
32057,94363
32057,1451598
32456,1451598
32822,1451598
32841,1451598
32824,83791
32161,1736
32161,1954
32161,5101
32161,5105
32161,7125
32161,18521
32161,19076
32161,81423
32161,123757
32161,184154
32161,376498
32161,387038
32161,1251789
32161,1425554
32161,2489127
32820,211630
32161,1425554
33966,1451598
36912,94363
36605,1451598
37549,94363
38698,248515
37872,1451598
40510,131550
40828,131550
40909,131550
38738,1451598
39124,169418
40828,366549
41922,94363
42860,1451598
43043,1451598
44782,234670
48827,94363
48827,1302430
48372,1451598
48821,83791
48889,83791
48821,3805966
50428,94363
49923,1451598
49491,5094785
53289,94363
52739,234670
52739,1451598
52741,1451598
55551,583987
59848,94363
60814,94363
60036,829426
63206,234670
63276,175863
63788,94363
64404,94363
64457,1451598
64852,3426431
66619,148163
68825,248515
68750,1451598
69024,1451598
74746,1369349
79270,131550
78207,1451598
79240,1451598
81116,131550
80753,94363
81116,248515
80662,1451598
81116,83791
81713,3803575
83715,94363
81997,1451598
83715,4248300
83456,83791
83791,218
83791,3808
83791,5094
83791,9577
83791,13511
83791,25447
83791,27721
83791,48889
83791,66996
83791,81116
83791,91405
83791,94081
83791,94555
83791,109081
83791,160243
83791,191381
83791,403109
83791,829426
83791,850522
83791,1003352
83791,1016956
83791,1414377
83791,1421340
83791,1773898
83791,1839036
83791,1847729
83791,2234274
83791,2256285
83791,2328842
83791,2753585
83791,3822486
83791,7276333
83791,7916396
83791,829426
83791,1016956
83715,494267
83715,494268
83791,1016956
85282,94363
86833,94363
87001,94363
89420,94363
89616,829426
92230,131550
92229,94363
92436,94363
92228,234670
92230,248515
89643,1451598
91835,1451598
92228,1451598
91405,83791
90028,1717563
92232,2337662
95914,131550
94363,1093
94363,1412
94363,3678
94363,6588
94363,6931
94363,8125
94363,12117
94363,15376
94363,15379
94363,16337
94363,17212
94363,19317
94363,21558
94363,21575
94363,21597
94363,21979
94363,25369
94363,26204
94363,28699
94363,36912
94363,41922
94363,43255
94363,48827
94363,53055
94363,55270
94363,59848
94363,64217
94363,79743
94363,79778
94363,80753
94363,83715
94363,85282
94363,85663
94363,92106
94363,92436
94363,92527
94363,98227
94363,99027
94363,101568
94363,103217
94363,107885
94363,113215
94363,122829
94363,123481
94363,128906
94363,130616
94363,134456
94363,135171
94363,136029
94363,148705
94363,155403
94363,159255
94363,160243
94363,166985
94363,170414
94363,191454
94363,191455
94363,201214
94363,201437
94363,206620
94363,221951
94363,227377
94363,227378
94363,247844
94363,248226
94363,249097
94363,255173
94363,255176
94363,259465
94363,262239
94363,265316
94363,289543
94363,300509
94363,304384
94363,309717
94363,311073
94363,347647
94363,375534
94363,384763
94363,489545
94363,547352
94363,585193
94363,621143
94363,643400
94363,651610
94363,657869
94363,708034
94363,715188
94363,799553
94363,806105
94363,853619
94363,928294
94363,1089544
94363,1185991
94363,1296672
94363,1302430
94363,1408457
94363,1446384
94363,1458107
94363,1556959
94363,1668293
94363,1689455
94363,1753595
94363,1844738
94363,1883777
94363,1974613
94363,2029326
94363,2062575
94363,2124695
94363,2125716
94363,2390265
94363,2413321
94363,2455552
94363,2553267
94363,2604200
94363,2761224
94363,2809715
94363,2845853
94363,2899875
94363,3145244
94363,3154622
94363,3276861
94363,3370260
94363,3495788
94363,3579224
94363,3676213
94363,4081097
94363,4248300
94363,4665810
94363,4711323
94363,4725479
94363,4880649
94363,5661605
94363,5690011
94363,5819498
94363,5960675
94363,6156821
94363,6812349
94363,6956460
94363,7125874
94363,7688540
94363,7754602
94363,7902524
94363,8674969
94363,8715176
94363,9550262
94363,10032560
94363,10983469
94363,11333753
94363,11626268
94363,17043379
94363,31293639
94363,1302430
95044,1451598
95823,1451598
94363,4248300
94081,83791
94118,1831279
96833,94363
97711,94363
98227,94363
97399,1451598
98668,1451598
98671,83791
97791,4966088
100942,131550
99595,94363
100105,94363
100942,94363
101568,94363
99848,1451598
100942,175863
100942,494267
103217,94363
103693,94363
102663,83791
102663,168661
102663,829426
107066,131550
107068,234670
107966,1451598
107586,1234704
109083,131550
108750,94363
108752,94363
109752,94363
110240,94363
110771,94363
110878,94363
108735,234670
108748,234670
108752,1302430
108748,1451598
109577,1451598
110216,1451598
110236,1451598
108748,3062719
110765,3629732
113215,94363
112590,1451598
117200,131550
116589,1451598
117200,1862783
122061,94363
122829,94363
121305,234670
120799,83791
120062,1570
120062,9236
120062,73963
120062,2222318
120744,2228965
123780,131550
123481,94363
123147,248515
123126,1451598
124544,1451598
128906,1451598
130496,131550
131550,376
131550,1412
131550,6931
131550,22947
131550,25747
131550,30771
131550,40510
131550,40828
131550,41780
131550,44662
131550,81116
131550,95914
131550,100942
131550,109083
131550,130496
131550,138380
131550,143334
131550,174215
131550,175863
131550,183250
131550,247463
131550,248514
131550,248515
131550,258292
131550,258293
131550,273200
131550,273856
131550,295507
131550,343909
131550,366549
131550,366550
131550,366552
131550,403109
131550,403903
131550,407633
131550,407847
131550,561335
131550,574765
131550,580549
131550,754257
131550,794908
131550,1190640
131550,1406376
131550,1677954
131550,1745771
131550,1836642
131550,1862783
131550,2024123
131550,2583420
131550,5144961
131550,5962503
131550,6426685
131550,7010464
131550,7517922
131550,7645896
131550,7964376
131550,8312965
131550,8402204
131550,9641546
131550,10157112
131550,11095362
131550,11110789
131550,30450932
131550,248515
130496,83791
130496,829426
132177,829426
131550,175863
131550,366549
131550,1862783
130857,2121380
134258,94363
134456,94363
135171,94363
136029,94363
134173,1451598
135739,1451598
135543,83791
135543,829426
133818,403903
133818,756057
133818,1644932
133818,2290863
133818,11195296
134664,5203
138380,131550
137134,234670
137134,1451598
143334,131550
142330,234670
143334,248515
142330,1451598
143926,1451598
146907,1451598
148163,22947
148163,27538
148163,156116
148163,179647
148163,179648
148163,179649
148163,377559
148163,520635
148163,2793942
148682,131550
148948,1451598
155138,131550
155475,131550
155513,131550
155403,94363
155510,234670
155140,1451598
155437,1451598
155510,1451598
155138,83791
155498,83791
153182,829426
156116,148163
