Id,Label
58,
css,css
html,html
javascript,javascript
makefile,makefile
plpgsql,plpgsql
python,python
shell,shell
sqlpl,sqlpl
144,
c,c
clojure,clojure
coffeescript,coffeescript
groovy,groovy
java,java
lex,lex
objective-c,objective-c
php,php
ruby,ruby
scala,scala
yacc,yacc
216,
api blueprint,api blueprint
cucumber,cucumber
e,e
elixir,elixir
nginx,nginx
ragel in ruby host,ragel in ruby host
302,
c++,c++
307,
awk,awk
batchfile,batchfile
fancy,fancy
groff,groff
thrift,thrift
333,
apacheconf,apacheconf
go,go
puppet,puppet
425,
perl,perl
powershell,powershell
672,
assembly,assembly
cmake,cmake
logos,logos
objective-c++,objective-c++
protocol buffer,protocol buffer
qml,qml
viml,viml
796,
actionscript,actionscript
gap,gap
genshi,genshi
haskell,haskell
inno setup,inno setup
lua,lua
mako,mako
896,
glsl,glsl
idl,idl
kotlin,kotlin
prolog,prolog
renderscript,renderscript
995,
applescript,applescript
c#,c#
cartocss,cartocss
common lisp,common lisp
d,d
dtrace,dtrace
elm,elm
emacs lisp,emacs lisp
gnuplot,gnuplot
handlebars,handlebars
hy,hy
idris,idris
livescript,livescript
nsis,nsis
ocaml,ocaml
perl6,perl6
pov-ray sdl,pov-ray sdl
purescript,purescript
r,r
racket,racket
rust,rust
smarty,smarty
1093,
m4,m4
plsql,plsql
qmake,qmake
rexx,rexx
sourcepawn,sourcepawn
terra,terra
turing,turing
vala,vala
xslt,xslt
1412,
asp,asp
sql,sql
typescript,typescript
1570,
abap,abap
ada,ada
autohotkey,autohotkey
cirru,cirru
cobol,cobol
coldfusion,coldfusion
dart,dart
eiffel,eiffel
erlang,erlang
forth,forth
fortran,fortran
freemarker,freemarker
haxe,haxe
io,io
jsoniq,jsoniq
julia,julia
lean,lean
liquid,liquid
lsl,lsl
mask,mask
matlab,matlab
nix,nix
openscad,openscad
pascal,pascal
scheme,scheme
swift,swift
tcl,tcl
tex,tex
verilog,verilog
vhdl,vhdl
visual basic,visual basic
xquery,xquery
1736,
gcc machine description,gcc machine description
1779,
gdb,gdb
postscript,postscript
1880,
antlr,antlr
arduino,arduino
processing,processing
1903,
1934,
blitzbasic,blitzbasic
llvm,llvm
purebasic,purebasic
scilab,scilab
standard ml,standard ml
systemverilog,systemverilog
zephir,zephir
1954,
crystal,crystal
digital command language,digital command language
hcl,hcl
moonscript,moonscript
nimrod,nimrod
pawn,pawn
urweb,urweb
volt,volt
1979,
1981,
2080,
component pascal,component pascal
mathematica,mathematica
saltstack,saltstack
supercollider,supercollider
webidl,webidl
2099,
bison,bison
clips,clips
flux,flux
sas,sas
2169,
clean,clean
hack,hack
2289,
agda,agda
coq,coq
2367,
2421,
pure data,pure data
2427,
2441,
m,m
2532,
f#,f#
maxscript,maxscript
2823,
jupyter notebook,jupyter notebook
mirah,mirah
vcl,vcl
2959,
3142,
slash,slash
3339,
smalltalk,smalltalk
stata,stata
3383,
3464,
3569,
3613,
nemerle,nemerle
newlisp,newlisp
3631,
1c enterprise,1c enterprise
3678,
3789,
3808,
brainfuck,brainfuck
lilypond,lilypond
rebol,rebol
3871,
4297,
4509,
4541,
4594,
aspectj,aspectj
ec,ec
smali,smali
unrealscript,unrealscript
xml,xml
xs,xs
4786,
5094,
module management system,module management system
5096,
cap'n proto,cap'n proto
5101,
5203,
cuda,cuda
5243,
5260,
5308,
5441,
5470,
5823,
5993,
6038,
6235,
6240,
emberscript,emberscript
6321,
6431,
6588,
pony,pony
6931,
6952,
opa,opa
7117,
7125,
ampl,ampl
7165,
mercury,mercury
7168,
7182,
augeas,augeas
robotframework,robotframework
web ontology language,web ontology language
7326,
7982,
8125,
8179,
8295,
8320,
8339,
8363,
8612,
8823,
8961,
8984,
9236,
9308,
gdscript,gdscript
9452,
vue,vue
9577,
xproc,xproc
9652,
9883,
9888,
9944,
10005,
ags script,ags script
dot,dot
10068,
10689,
11036,
apex,apex
11213,
11582,
11703,
11961,
12117,
12359,
12726,
12767,
12930,
12931,
12979,
13063,
nesc,nesc
13256,
13384,
13511,
14248,
14533,
14597,
14733,
14765,
14829,
15341,
wisp,wisp
15376,
15379,
15462,
15700,
16042,
16110,
16337,
17038,
17112,
sqf,sqf
17141,
17212,
17576,
17717,
17759,
parrot,parrot
18130,
18166,
18189,
18460,
18521,
18556,
19061,
19076,
19317,
20317,
20680,
20790,
21345,
21575,
21597,
21979,
22126,
kicad,kicad
22152,
22662,
22902,
22947,
23042,
23145,
23234,
23255,
23883,
23936,
23968,
24452,
24858,
25369,
25437,
xtend,xtend
25442,
25447,
25461,
csound document,csound document
25603,
25747,
25816,
25991,
hlsl,hlsl
26083,
26158,
26204,
26331,
piglatin,piglatin
26422,
26466,
26900,
27377,
27389,
27507,
stan,stan
27538,
delphi,delphi
27562,
27721,
27767,
27897,
28309,
28538,
28603,
28699,
28908,
28929,
29881,
30063,
30074,
eagle,eagle
30315,
30771,
30877,
30887,
30937,
32057,
32456,
32550,
monkey,monkey
32677,
32824,
32841,
32953,
33325,
33966,
34389,
34560,
35043,
35087,
36166,
36428,
36605,
36846,
36912,
37417,
37604,
37811,
37872,
dogescript,dogescript
37934,
autoit,autoit
38698,
38738,
39041,
39124,
39333,
limbo,limbo
40392,
40872,
40909,
41285,
41591,
41780,
41922,
42860,
42982,
43043,
43112,
43216,
43255,
